TIME,STD,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
10:30:01,IST,all,15.59,0,3.22,3.96,0,0.5,0,0,0,76.73
10:30:02,IST,all,16.34,0,4.21,18.07,0,0.5,0,0,0,60.89
10:30:03,IST,all,11.56,0,3.02,31.41,0,0.5,0,0,0,53.52
10:30:04,IST,all,7.98,0,2.99,26.18,0,0,0,0,0,62.84
10:30:05,IST,all,5.58,0,1.78,53.3,0,0.25,0,0,0,39.09
10:30:06,IST,all,11.08,0,2.02,42.07,0,0.25,0,0,0,44.58
10:30:07,IST,all,20.1,0,3.77,23.12,0,1.51,0,0,0,51.51
10:30:08,IST,all,17.12,0,4.96,38.96,0,0.25,0,0,0,38.71
10:30:09,IST,all,19.49,0,6.08,70.89,0,0.25,0,0,0,3.29
10:30:10,IST,all,16.79,0,5.01,77.69,0,0.25,0,0,0,0.25
10:30:11,IST,all,6.84,0,1.52,91.14,0,0.51,0,0,0,0
10:30:12,IST,all,15.25,0,3.5,80.75,0,0.5,0,0,0,0
10:30:13,IST,all,19.44,0,3.79,58.08,0,0,0,0,0,18.69
10:30:14,IST,all,6.02,0,2.76,65.16,0,0.5,0,0,0,25.56
10:30:15,IST,all,13.12,0,2.97,21.04,0,0.5,0,0,0,62.38
10:30:16,IST,all,22.96,0,2.47,8.64,0,0.49,0,0,0,65.43
10:30:17,IST,all,19.9,0,1.99,19.4,0,1.99,0,0,0,56.72
10:30:18,IST,all,36.23,0,6.45,10.42,0,1.24,0,0,0,45.66
10:30:19,IST,all,23.82,0,4.47,6.95,0,0.74,0,0,0,64.02
10:30:20,IST,all,9.85,0,1.77,2.78,0,0.25,0,0,0,85.35
10:30:21,IST,all,4.05,0,0.76,22.78,0,0.25,0,0,0,72.15
10:30:22,IST,all,6.03,0,1.01,29.15,0,0.25,0,0,0,63.57
10:30:23,IST,all,5.81,0,0.51,32.32,0,0.25,0,0,0,61.11
10:30:24,IST,all,4.7,0,2.23,38.12,0,0.25,0,0,0,54.7
10:30:25,IST,all,8.5,0,1.5,39,0,0.5,0,0,0,50.5
10:30:26,IST,all,15.66,0,4.04,26.52,0,0.76,0,0,0,53.03
10:30:27,IST,all,27.59,0,5.06,25.57,0,1.01,0,0,0,40.76
10:30:28,IST,all,19.95,0,4.35,21.99,0,0.77,0,0,0,52.94
10:30:29,IST,all,17.59,0,4.02,30.4,0,0.75,0,0,0,47.24
10:30:30,IST,all,28.57,0,7.64,31.77,0,2.46,0,0,0,29.56
10:30:31,IST,all,41.35,0,10.28,15.29,0,0.25,0,0,0,32.83
10:30:32,IST,all,10.3,0,2.76,5.53,0,0.5,0,0,0,80.9
10:30:33,IST,all,8.5,0,0.75,13.5,0,0.75,0,0,0,76.5
10:30:34,IST,all,8.84,0,1.77,21.97,0,0,0,0,0,67.42
10:30:35,IST,all,21.28,0,3.85,18.21,0,0.77,0,0,0,55.9
10:30:36,IST,all,19.85,0,5.15,14.43,0,1.03,0,0,0,59.54
10:30:37,IST,all,14.21,0,2.49,23.19,0,0.25,0,0,0,59.85
10:30:38,IST,all,6.5,0,1.5,14.25,0,0.25,0,0,0,77.5
10:30:39,IST,all,9.8,0,1.26,27.39,0,0.5,0,0,0,61.06
10:30:40,IST,all,19.85,0,3.77,25.63,0,1.01,0,0,0,49.75
10:30:41,IST,all,10.28,0,3.51,29.82,0,0.5,0,0,0,55.89
10:30:42,IST,all,6.08,0,1.27,29.87,0,0.51,0,0,0,62.28
10:30:43,IST,all,16.05,0,5.93,30.37,0,0.74,0,0,0,46.91
10:30:44,IST,all,13.23,0,5.34,23.66,0,1.02,0,0,0,56.74
10:30:45,IST,all,31.14,0,11.14,25.57,0,0.76,0,0,0,31.39
10:30:46,IST,all,32.74,0.51,7.93,40.15,0,0.26,0,0,0,18.41
10:30:47,IST,all,40.5,0.25,6.5,36.25,0,1.75,0,0,0,14.75
10:30:48,IST,all,23.16,0,7.38,49.62,0,0.76,0,0,0,19.08
10:30:49,IST,all,20,0,5,55.5,0,1.25,0,0,0,18.25
10:30:50,IST,all,28.57,0.26,8.93,41.58,0,0.77,0,0,0,19.9
10:30:51,IST,all,17.91,0,6.47,56.22,0,0.75,0,0,0,18.66
10:30:52,IST,all,28.64,0.75,6.03,20.6,0,0.75,0,0,0,43.22
